proposal_key,flagship_id,proposal_id,call_id,call_name,flagship_title,proposal_title,dashboard_project_node,source_file,n_applicants,n_institutions,institutions,erasmus_mc_count,tu_delft_count,eur_count,external_or_other_count
flagship::2022030,2022030,2022030,flagship,Flagship Call,ALIVE Convergence Flagship Proposal Updated,ALIVE Convergence Flagship Proposal Updated,True,2022030_ALIVE Convergence Flagship Proposal_Updated.pdf,31,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,20,2,9,0
flagship::2022016,2022016,2022016,flagship,Flagship Call,FlagshipNG PM4allDEF,FlagshipNG PM4allDEF,True,2022016_2022016_FlagshipNG-PM4allDEF.pdf,30,4,Erasmus MC; Erasmus University Rotterdam; Multiple core institutions; TU Delft,16,4,8,2
flagship::2022005,2022005,2022005,flagship,Flagship Call,Development of the microbial safe hospital: the MI-Safe-Hospital flagship,Development of the microbial safe hospital: the MI-Safe-Hospital flagship,True,2022005_2022005_Full proposal MI-SAFE.pdf,30,5,Erasmus MC; Erasmus University Rotterdam; Inspired Ambitions; Multiple core institutions; TU Delft,13,8,6,3
flagship::2022014,2022014,2022014,flagship,Flagship Call,full propsal ALIVE,full propsal ALIVE,True,2022014_2022014_full propsal_ALIVE.pdf,28,4,Erasmus MC; Erasmus University Rotterdam; Multiple core institutions; TU Delft,13,9,5,1
flagship::2022023,2022023,2022023,flagship,Flagship Call,"Deep Medical Imaging of Structure, Physiology and Function","Deep Medical Imaging of Structure, Physiology and Function",True,2022023_2022023_Flagship-Call-Deep Imaging_merged_final_revised.pdf,26,4,Erasmus MC; Erasmus University Rotterdam; Multiple core institutions; TU Delft,14,7,2,3
flagship::2022008,2022008,2022008,flagship,Flagship Call,Resilient Healthcare,Resilient Healthcare,True,2022008_2022008_Full proposal_Resilient_Healthcare.pdf,25,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,8,10,7,0
flagship::2022033,2022033,2022033,flagship,Flagship Call,Organ-on-Chip technology for disease modeling and personalized medicine,Organ-on-Chip technology for disease modeling and personalized medicine,True,2022033_Flagship-Call-CoC proposal-final corrected.pdf,24,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,14,3,7,0
flagship::2022032,2022032,2022032,flagship,Flagship Call,Patient-centered oncological care: New paradigms in understanding and treating cancer,Patient-centered oncological care: New paradigms in understanding and treating cancer,True,2022032_2022032_Full proposal_PatientCenteredOncoCare.pdf,24,4,Erasmus MC; Erasmus University Rotterdam; Multiple core institutions; TU Delft,9,10,4,1
flagship::2022018,2022018,2022018,flagship,Flagship Call,I-GUIDE: Image guided minimally invasive interventions,I-GUIDE: Image guided minimally invasive interventions,True,2022018_2022018_full proposal_I-GUIDE.pdf,23,5,Dr . Sandra Sülz; Erasmus MC; Erasmus University Rotterdam; Multiple core institutions; TU Delft,11,5,2,5
flagship::2022034,2022034,2022034,flagship,Flagship Call,SWITTCH,SWITTCH,True,2022034_2022034_Full proposal_SWITTCH.pdf,22,4,Erasmus MC; Erasmus University Rotterdam; Public a.vangri; TU Delft,3,6,12,1
flagship::2022002,2022002,2022002,flagship,Flagship Call,HOUDINI,HOUDINI,True,2022002_2022002_full proposal HOUDINI.pdf,22,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,11,7,4,0
flagship::2022015,2022015,2022015,flagship,Flagship Call,Data Driven Platforms for Aging in Place,Data Driven Platforms for Aging in Place,True,2022015_2022015_full proposal_Data-Driven Platforms for Aging in Place.pdf,21,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,6,8,7,0
flagship::2022035,2022035,2022035,flagship,Flagship Call,iCELL,iCELL,True,2022035_2022035_Full proposal_iCELL.pdf,20,6,Erasmus MC; Erasmus University Rotterdam; Garvan Institute; Multiple core institutions; TNO; TU Delft,8,5,3,4
flagship::2022031,2022031,2022031,flagship,Flagship Call,"Personalized, Real-Time Health Impact of Climate Change and Pollution","Personalized, Real-Time Health Impact of Climate Change and Pollution",True,2022031_2022031_Full proposal_Environment & Health.pdf,20,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,7,7,6,0
flagship::2022024,2022024,2022024,flagship,Flagship Call,Biosystems modeling of cell-cell communication (BioComm),Biosystems modeling of cell-cell communication (BioComm),True,2022024_BioComm Flagship proposal budget corrected.pdf,19,4,Erasmus MC; Erasmus University Rotterdam; Multiple core institutions; TU Delft,12,4,2,1
flagship::2022001,2022001,2022001,flagship,Flagship Call,IN - Integrative Neuromedicine,IN - Integrative Neuromedicine,True,2022001_2022001_full proposal Integrated Neuromedicine.pdf,18,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,8,6,4,0
flagship::2022010,2022010,2022010,flagship,Flagship Call,An iPSC-based platform for developing personalized medicine for rare diseases (iMED),An iPSC-based platform for developing personalized medicine for rare diseases (iMED),True,2022010_2022010_Full proposal iMED.pdf,18,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,10,6,2,0
flagship::2022029,2022029,2022029,flagship,Flagship Call,THERANOSTICS,THERANOSTICS,True,2022029_2022029_Full proposal_Theranostics.pdf,16,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,8,5,3,0
flagship::2022019,2022019,2022019,flagship,Flagship Call,SMART OR2030 Complete 20220322,SMART OR2030 Complete 20220322,True,2022019_2022019_Flagship Call SMART OR2030 - Complete 20220322.pdf,16,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,10,5,1,0
flagship::2022007,2022007,2022007,flagship,Flagship Call,Me Health InnoVatoRs,Me Health InnoVatoRs,True,2022007_2022007_Full proposal Me-Health_InnoVatoRs.pdf,16,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,4,7,5,0
flagship::2022022,2022022,2022022,flagship,Flagship Call,CODE RED,CODE RED,True,2022022_2022022_Full proposal_CODE RED.pdf,15,4,"Erasmus MC; Erasmus University Rotterdam; Human Medicines, Hematology- Oncology Department; TU Delft",9,4,1,1
flagship::2022036,2022036,2022036,flagship,Flagship Call,User-centered technology-based interventions for minimally supervised motor rehabilitation; a Convergence Human Mobility Center (CHMC) flagship Call for Flagship Programs | Convergence of Health & Technology March 2022 Application form Flagship program round 2021-2022,User-centered technology-based interventions for minimally supervised motor rehabilitation; a Convergence Human Mobility Center (CHMC) flagship Call for Flagship Programs | Convergence of Health & Technology March 2022 Application form Flagship program round 2021-2022,True,2022036_2022036_Flagship-Call-final application CHMC 14032022.pdf,15,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,8,6,1,0
flagship::2022027,2022027,2022027,flagship,Flagship Call,Tailoring Technologies for a Healthy Neighbourhood (The Healthy Neighbourhood Project),Tailoring Technologies for a Healthy Neighbourhood (The Healthy Neighbourhood Project),True,2022027_2022027_Full proposal_TTHN.pdf,14,4,: Samantha; Erasmus MC; Erasmus University Rotterdam; TU Delft,4,4,5,1
flagship::2022006,2022006,2022006,flagship,Flagship Call,Sustainable hospital Flagship 220322 (1,Sustainable hospital Flagship 220322 (1,True,2022006_2022006_Sustainable hospital Flagship_final220322 (1).pdf,14,4,Erasmus MC; Erasmus University Rotterdam; Prof. Dr. ir. Erik van; TU Delft,4,5,4,1
flagship::2022028,2022028,2022028,flagship,Flagship Call,More Efficient Clinical Trials: The Center for Bayesian Adaptive Trials - CBAT,More Efficient Clinical Trials: The Center for Bayesian Adaptive Trials - CBAT,True,2022028_2022028_Full proposal_CBAT.pdf,12,3,Erasmus MC; Erasmus University Rotterdam; LUMC,6,0,4,2
flagship::2022004,2022004,2022004,flagship,Flagship Call,Innovation Platform for Monitoring Health and Disease using Liquid Biopsies. Acronym: (IPLiB),Innovation Platform for Monitoring Health and Disease using Liquid Biopsies. Acronym: (IPLiB),True,2022004_2022004_Full proposal IPliB.pdf,11,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,5,5,1,0
open-mind::openmind_061,openmind_061,openmind_061,open-mind,Open Mind Call,Patient sc-AI-nce: a method for integrating patient experiences in text mining analysis,Patient sc-AI-nce: a method for integrating patient experiences in text mining analysis,False,Convergence Open Mind Summary.xlsx,10,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,4,1,5,0
open-mind::openmind_124,openmind_124,openmind_124,open-mind,Open Mind Call,HYPOC: HYPerspectral imaging for Ovarian Cancer detection,HYPOC: HYPerspectral imaging for Ovarian Cancer detection,False,Convergence Open Mind Summary.xlsx,10,3,Erasmus MC; TU Delft; Unknown,1,2,0,7
open-mind::openmind_060,openmind_060,openmind_060,open-mind,Open Mind Call,Preferences for priorities in healthcare systems post-COVID-19 - Introducing participatory value evaluation in Latin America.,Preferences for priorities in healthcare systems post-COVID-19 - Introducing participatory value evaluation in Latin America.,False,Convergence Open Mind Summary.xlsx,9,3,Erasmus University Rotterdam; TU Delft; Unknown,0,3,1,5
open-mind::openmind_045,openmind_045,openmind_045,open-mind,Open Mind Call,Converging organoids and decellularization to create patient-specific metastasis models for bile duct cancer,Converging organoids and decellularization to create patient-specific metastasis models for bile duct cancer,False,Convergence Open Mind Summary.xlsx,9,3,Erasmus MC; Other; TU Delft,5,3,0,1
open-mind::openmind_039,openmind_039,openmind_039,open-mind,Open Mind Call,Unveiling hidden clusters in the 12-lead surface electrocardiogram using unsupervised learning,Unveiling hidden clusters in the 12-lead surface electrocardiogram using unsupervised learning,False,Convergence Open Mind Summary.xlsx,9,2,Erasmus MC; TU Delft,7,2,0,0
open-mind::openmind_110,openmind_110,openmind_110,open-mind,Open Mind Call,Live cell microscopy setup for visualizing cellular responses to DNA PROTON damage,Live cell microscopy setup for visualizing cellular responses to DNA PROTON damage,False,Convergence Open Mind Summary.xlsx,8,2,Erasmus MC; TU Delft,5,3,0,0
open-mind::openmind_098,openmind_098,openmind_098,open-mind,Open Mind Call,Improving detection of invasive lobular breast carcinoma,Improving detection of invasive lobular breast carcinoma,False,Convergence Open Mind Summary.xlsx,8,2,Erasmus MC; TU Delft,5,3,0,0
open-mind::openmind_085,openmind_085,openmind_085,open-mind,Open Mind Call,Artificial Intelligence for first trimester anomaly screening of the human fetus and brain,Artificial Intelligence for first trimester anomaly screening of the human fetus and brain,False,Convergence Open Mind Summary.xlsx,8,2,Erasmus MC; TU Delft,6,2,0,0
open-mind::openmind_078,openmind_078,openmind_078,open-mind,Open Mind Call,Advanced image analysis strategies for platelet diagnostics,Advanced image analysis strategies for platelet diagnostics,False,Convergence Open Mind Summary.xlsx,8,2,Erasmus MC; TU Delft,5,3,0,0
open-mind::openmind_069,openmind_069,openmind_069,open-mind,Open Mind Call,Immunophenotyping of intrahepatic cholangiocarcinoma using automated image analysis,Immunophenotyping of intrahepatic cholangiocarcinoma using automated image analysis,False,Convergence Open Mind Summary.xlsx,8,2,Erasmus MC; Unknown,7,0,0,1
sustainable-health-programs::shp-smart-or2030,shp-smart-or2030,shp-smart-or2030,sustainable-health-programs,Sustainable Health Programs (SHP),SMART OR2030,SMART OR2030,True,manual:sustainable_health_programs,8,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,4,2,2,0
open-mind::openmind_012,openmind_012,openmind_012,open-mind,Open Mind Call,Intellectual Disability Alert (IDA): a tool to improve recognition of mild intellectual disabilities among the general patient population,Intellectual Disability Alert (IDA): a tool to improve recognition of mild intellectual disabilities among the general patient population,False,Convergence Open Mind Summary.xlsx,8,3,Erasmus MC; TU Delft; Unknown,1,1,0,6
open-mind::openmind_019,openmind_019,openmind_019,open-mind,Open Mind Call,Web-based Interactive Tool for Responsible Digital Health Innovation,Web-based Interactive Tool for Responsible Digital Health Innovation,False,Convergence Open Mind Summary.xlsx; afronding Impuls overview_dec22 BM.xlsx,8,2,Erasmus MC; TU Delft,3,5,0,0
sustainable-health-programs::shp-zero-emission-endoscopy,shp-zero-emission-endoscopy,shp-zero-emission-endoscopy,sustainable-health-programs,Sustainable Health Programs (SHP),Zero Emission Endoscopy,Zero Emission Endoscopy,True,manual:sustainable_health_programs,8,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,3,3,2,0
open-mind::openmind_036,openmind_036,openmind_036,open-mind,Open Mind Call,Ex-Vivo Lung Perfusion VR-based simulator (EVLP-VR Sim),Ex-Vivo Lung Perfusion VR-based simulator (EVLP-VR Sim),False,Convergence Open Mind Summary.xlsx; Open Mind Call education projects.xlsx,7,3,Erasmus MC; TU Delft; Unknown,4,1,0,2
open-mind::openmind_106,openmind_106,openmind_106,open-mind,Open Mind Call,A convergence course on “digital transformation in healthcare”,A convergence course on “digital transformation in healthcare”,False,Convergence Open Mind Summary.xlsx; Open Mind Call education projects.xlsx; afronding Impuls overview_dec22 BM.xlsx,7,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,5,1,1,0
open-mind::openmind_021,openmind_021,openmind_021,open-mind,Open Mind Call,Deconvolution of epigenetic profiles of cell-free DNA to enable early detection of immunotherapy-related toxicity,Deconvolution of epigenetic profiles of cell-free DNA to enable early detection of immunotherapy-related toxicity,False,Convergence Open Mind Summary.xlsx,7,2,Erasmus MC; TU Delft,5,2,0,0
open-mind::openmind_010,openmind_010,openmind_010,open-mind,Open Mind Call,"An ultrashort, patient-friendly MRI sequence to enhance rheumatoid arthritis recognition with the ultimate aim to transition this to primary care","An ultrashort, patient-friendly MRI sequence to enhance rheumatoid arthritis recognition with the ultimate aim to transition this to primary care",False,Convergence Open Mind Summary.xlsx,6,2,Erasmus MC; Erasmus University Rotterdam,5,0,1,0
open-mind::openmind_027,openmind_027,openmind_027,open-mind,Open Mind Call,My Smarter Sleep Coach: Improving Family Sleep Habits with Conversational Agents,My Smarter Sleep Coach: Improving Family Sleep Habits with Conversational Agents,False,Convergence Open Mind Summary.xlsx; afronding Impuls overview_dec22 BM.xlsx,6,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,4,1,1,0
open-mind::openmind_100,openmind_100,openmind_100,open-mind,Open Mind Call,WARM: World methodology to embed Artificial intelligence Responsibly in Medicine,WARM: World methodology to embed Artificial intelligence Responsibly in Medicine,False,Convergence Open Mind Summary.xlsx,6,4,Erasmus MC; Erasmus University Rotterdam; TU Delft; Unknown,2,1,2,1
open-mind::openmind_089,openmind_089,openmind_089,open-mind,Open Mind Call,Combining epidemiology and sensor technology to optimize physical activity research,Combining epidemiology and sensor technology to optimize physical activity research,False,Convergence Open Mind Summary.xlsx,6,2,Erasmus MC; TU Delft,3,3,0,0
open-mind::openmind_104,openmind_104,openmind_104,open-mind,Open Mind Call,Automated medical image quantification in head and neck cancer = #104,Automated medical image quantification in head and neck cancer = #104,False,Convergence Open Mind Summary.xlsx,6,2,Erasmus MC; Unknown,5,0,0,1
open-mind::openmind_020,openmind_020,openmind_020,open-mind,Open Mind Call,Advanced neuromonitoring on the pediatric intensive care,Advanced neuromonitoring on the pediatric intensive care,False,Convergence Open Mind Summary.xlsx,6,4,Erasmus MC; Other; TU Delft; Unknown,1,2,0,3
open-mind::openmind_111,openmind_111,openmind_111,open-mind,Open Mind Call,Data exploration and integration to improve clinical decision making in practice,Data exploration and integration to improve clinical decision making in practice,False,Convergence Open Mind Summary.xlsx; afronding Impuls overview_dec22 BM.xlsx,6,4,Erasmus MC; Erasmus University Rotterdam; TU Delft; Unknown,2,2,1,1
open-mind::openmind_076,openmind_076,openmind_076,open-mind,Open Mind Call,Hips don’t lie: extracting hidden data from hip radiographs to improve personalized prediction of hip OA.,Hips don’t lie: extracting hidden data from hip radiographs to improve personalized prediction of hip OA.,False,Convergence Open Mind Summary.xlsx,6,3,Erasmus MC; TU Delft; Unknown,2,2,0,2
open-mind::openmind_050,openmind_050,openmind_050,open-mind,Open Mind Call,My Physical Activity Strategy: Inducing sustainable lifestyle changes in cardiovascular patients through a human-centered design solution,My Physical Activity Strategy: Inducing sustainable lifestyle changes in cardiovascular patients through a human-centered design solution,False,Convergence Open Mind Summary.xlsx,6,3,Erasmus MC; TU Delft; Unknown,2,3,0,1
open-mind::openmind_062,openmind_062,openmind_062,open-mind,Open Mind Call,Building a resilient ecosystem for continuous learning Artificial Intelligence in radiology,Building a resilient ecosystem for continuous learning Artificial Intelligence in radiology,False,Convergence Open Mind Summary.xlsx,6,4,Erasmus MC; Erasmus University Rotterdam; TU Delft; Unknown,2,1,1,2
open-mind::openmind_046,openmind_046,openmind_046,open-mind,Open Mind Call,Advancing cancer treatment with CERN technology,Advancing cancer treatment with CERN technology,False,Convergence Open Mind Summary.xlsx,6,2,Erasmus MC; TU Delft,4,2,0,0
open-mind::openmind_055,openmind_055,openmind_055,open-mind,Open Mind Call,Characterization of circulating tumor cells and associated markers in urine liquid biopsies from prostate cancer patients,Characterization of circulating tumor cells and associated markers in urine liquid biopsies from prostate cancer patients,False,Convergence Open Mind Summary.xlsx; afronding Impuls overview_dec22 BM.xlsx,6,2,Erasmus MC; TU Delft,4,2,0,0
sustainable-health-programs::shp-technological-innovations-for-nurses,shp-technological-innovations-for-nurses,shp-technological-innovations-for-nurses,sustainable-health-programs,Sustainable Health Programs (SHP),Technological innovations for nurses,Technological innovations for nurses,True,manual:sustainable_health_programs,6,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,3,2,1,0
open-mind::openmind_065,openmind_065,openmind_065,open-mind,Open Mind Call,Values Taking Shape: A collaborative deliberation toolkit for Convergence Squares,Values Taking Shape: A collaborative deliberation toolkit for Convergence Squares,False,Convergence Open Mind Summary.xlsx; Open Mind Call education projects.xlsx,6,2,Erasmus MC; TU Delft,2,4,0,0
open-mind::openmind_056,openmind_056,openmind_056,open-mind,Open Mind Call,Improving early detection of psychosis risk: Large-scale studies combining epigenetics and brain imaging across development,Improving early detection of psychosis risk: Large-scale studies combining epigenetics and brain imaging across development,False,Convergence Open Mind Summary.xlsx,6,4,Erasmus MC; Erasmus University Rotterdam; TU Delft; Unknown,2,2,1,1
open-mind::openmind_070,openmind_070,openmind_070,open-mind,Open Mind Call,Experiential Ethics Education: Reflecting on the Meaning and Value of Human Health Through Material,Experiential Ethics Education: Reflecting on the Meaning and Value of Human Health Through Material,False,Convergence Open Mind Summary.xlsx; Open Mind Call education projects.xlsx,6,3,Erasmus MC; TU Delft; Unknown,1,2,0,3
open-mind::openmind_120,openmind_120,openmind_120,open-mind,Open Mind Call,Machine learning for the early identification of emotional problems in children and adolescents,Machine learning for the early identification of emotional problems in children and adolescents,False,Convergence Open Mind Summary.xlsx,6,4,Erasmus MC; Erasmus University Rotterdam; TU Delft; Unknown,1,1,2,2
open-mind::openmind_118,openmind_118,openmind_118,open-mind,Open Mind Call,Convergence course: Causal inference from a machine learning perspective,Convergence course: Causal inference from a machine learning perspective,False,Convergence Open Mind Summary.xlsx; Open Mind Call education projects.xlsx,6,2,Erasmus MC; TU Delft,3,3,0,0
open-mind::openmind_064,openmind_064,openmind_064,open-mind,Open Mind Call,Mindfulness-based stress reduction in virtual reality.,Mindfulness-based stress reduction in virtual reality.,False,Convergence Open Mind Summary.xlsx,5,2,Erasmus MC; Erasmus University Rotterdam,2,0,3,0
open-mind::openmind_087,openmind_087,openmind_087,open-mind,Open Mind Call,Optimal cost-effective integrated testing strategies for the identification of BRCA-Like Tumors,Optimal cost-effective integrated testing strategies for the identification of BRCA-Like Tumors,False,Convergence Open Mind Summary.xlsx,5,3,Erasmus MC; Erasmus University Rotterdam; Unknown,1,0,1,3
open-mind::openmind_072,openmind_072,openmind_072,open-mind,Open Mind Call,ULTRAPROBE: Ultrasensitive digital probe for transcranial ultrasound imaging of the brain,ULTRAPROBE: Ultrasensitive digital probe for transcranial ultrasound imaging of the brain,False,Convergence Open Mind Summary.xlsx,5,3,Erasmus MC; TU Delft; Unknown,1,3,0,1
open-mind::openmind_040,openmind_040,openmind_040,open-mind,Open Mind Call,Smarter Sleeping: a digital health care innovation for estimating sleep using AI,Smarter Sleeping: a digital health care innovation for estimating sleep using AI,False,Convergence Open Mind Summary.xlsx; afronding Impuls overview_dec22 BM.xlsx,5,2,Erasmus MC; TU Delft,3,2,0,0
open-mind::openmind_042,openmind_042,openmind_042,open-mind,Open Mind Call,Improving the health journeys of heart failure patients by linking clinical data with data on causes of death and health care utilization.,Improving the health journeys of heart failure patients by linking clinical data with data on causes of death and health care utilization.,False,Convergence Open Mind Summary.xlsx,5,3,Erasmus MC; Erasmus University Rotterdam; Unknown,1,0,3,1
open-mind::openmind_082,openmind_082,openmind_082,open-mind,Open Mind Call,The oxygen axis: breathing air into a collaboration for patient-centered functional monitoring with the O2-Sense,The oxygen axis: breathing air into a collaboration for patient-centered functional monitoring with the O2-Sense,False,Convergence Open Mind Summary.xlsx,5,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,2,2,1,0
impuls::impuls_cht06,impuls_cht06,impuls_cht06,impuls,Impuls Call,"Broad Spectrum, High Precision Theranostic Cancer Therapy","Broad Spectrum, High Precision Theranostic Cancer Therapy",False,afronding Impuls overview_dec22 BM.xlsx,5,2,Erasmus MC; TU Delft,3,2,0,0
impuls::impuls_cht10,impuls_cht10,impuls_cht10,impuls,Impuls Call,My Digital Twin: Architecting a Scalable and Secure Database for Patient-data,My Digital Twin: Architecting a Scalable and Secure Database for Patient-data,False,afronding Impuls overview_dec22 BM.xlsx; Overzicht output Impuls programma.pptx,5,2,Erasmus MC; TU Delft,1,4,0,0
open-mind::openmind_031,openmind_031,openmind_031,open-mind,Open Mind Call,Enabling Next-Generation Smart Neuromodulation Using In-Memory Computing,Enabling Next-Generation Smart Neuromodulation Using In-Memory Computing,False,Convergence Open Mind Summary.xlsx,5,2,Erasmus MC; TU Delft,2,3,0,0
open-mind::openmind_067,openmind_067,openmind_067,open-mind,Open Mind Call,Exploring innovative imaging modalities to determine cartilage tissue properties in osteoarthritic knees,Exploring innovative imaging modalities to determine cartilage tissue properties in osteoarthritic knees,False,Convergence Open Mind Summary.xlsx; afronding Impuls overview_dec22 BM.xlsx,5,2,Erasmus MC; TU Delft,3,2,0,0
open-mind::openmind_029,openmind_029,openmind_029,open-mind,Open Mind Call,A convergence framework MTA,A convergence framework MTA,False,Convergence Open Mind Summary.xlsx,5,2,Erasmus MC; TU Delft,2,3,0,0
open-mind::openmind_113,openmind_113,openmind_113,open-mind,Open Mind Call,Combining algorithms and machine learning to individualize drug dosing,Combining algorithms and machine learning to individualize drug dosing,False,Convergence Open Mind Summary.xlsx,5,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,3,1,1,0
open-mind::openmind_109,openmind_109,openmind_109,open-mind,Open Mind Call,CHANGE! (Conscious Health dAta shariNg in movinG RottErdam!),CHANGE! (Conscious Health dAta shariNg in movinG RottErdam!),False,Convergence Open Mind Summary.xlsx,5,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,3,1,1,0
impuls::impuls_cht17,impuls_cht17,impuls_cht17,impuls,Impuls Call,Converging ethics for converging technologies,Converging ethics for converging technologies,False,afronding Impuls overview_dec22 BM.xlsx; Overzicht output Impuls programma.pptx,5,2,Erasmus MC; TU Delft,2,3,0,0
open-mind::openmind_005,openmind_005,openmind_005,open-mind,Open Mind Call,Model-based reconstruction ofknee ligamentsto restore knee function,Model-based reconstruction ofknee ligamentsto restore knee function,False,Convergence Open Mind Summary.xlsx,5,3,Erasmus MC; TU Delft; Unknown,1,2,0,2
open-mind::openmind_006,openmind_006,openmind_006,open-mind,Open Mind Call,INDICATE: ImagiNg-based Detectionof IntraCranial ArTEriosclerosis,INDICATE: ImagiNg-based Detectionof IntraCranial ArTEriosclerosis,False,Convergence Open Mind Summary.xlsx,5,2,Erasmus MC; Unknown,1,0,0,4
open-mind::openmind_119,openmind_119,openmind_119,open-mind,Open Mind Call,iConverge: prototype of an intelligent search system for convergence users,iConverge: prototype of an intelligent search system for convergence users,False,Convergence Open Mind Summary.xlsx,5,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,1,2,2,0
